Gene,Score
CBX4,0.06585107
HSP90AA1,0.9840671
FKBP6,0.001283715
TTC21B,0.00071353756
WDR35,0.0016441003
PTK2,0.5565312
MAFB,0.06607236
VAMP2,9.935263e-05
DDB1,0.0065474887
IL17A,0.0054575764
IL17F,0.0020801143
KHSRP,0.0012684267
PBX1,0.008125577
PKNOX1,0.008737884
DLG3,0.0050996896
DLG4,0.02413036
CD1A,0.02397124
CD1B,0.0012262821
CD1D,0.06477148
CD1C,0.013675249
RAG2,0.004955086
RAG1,0.011172525
ERLIN1,0.003031633
ERLIN2,0.112546414
ZFHX3,0.076775245
OTUB1,0.0023807725
RNF128,0.0007291638
HSD17B10,7.91154e-05
TRMT10C,0.00016498614
ZNF335,0.016404357
CNOT6,0.0015348523
RFX6,5.267613e-05
IL6ST,0.02492271
CUL5,0.00048200728
CUL3,0.15127559
CUL2,0.025627544
