Gene,Score
VCP,0.8613682
YOD1,0.0027757685
ZRANB1,3.8645438e-05
APC,0.8670867
ATXN3,0.005398326
STAMBP,1.8148916e-05
STAM,0.005969557
NTRK3,0.40487957
PTPRS,0.011167569
SERPINE1,0.05746613
VTN,0.014400427
DAG1,0.06297911
AGRN,0.0008993247
BCL10,0.2635438
SLIT1,5.4356868e-05
RALGAPA2,2.8503368e-05
RALGAPB,1.4752642e-06
GOLGB1,0.00154408
ACBD3,0.0022609204
HPS4,0.0009082305
HPS1,0.00027281189
INHBB,1.2775906e-05
INHBA,0.0037786397
FAM20A,0.00025142686
FAM20C,0.0008604959
PARP1,4.2656822e-05
RAD52,0.001799341
RNF168,0.020165332
SP100,0.07862343
TDG,0.0088199
WRN,0.01783228
XPC,0.0029275906
MITF,0.040406186
SP3,0.023751758
TP53BP1,0.0011531245
CDKN2A,0.00069211976
HIC1,0.17857534
FOXL2,0.00059628277
DDX17,0.001253957
SATB1,0.009289974
SUZ12,0.004305839
HDAC4,0.027171576
HDAC1,0.31269708
HDAC2,0.0028887223
CHD3,0.00034514643
HNRNPC,0.0017982877
NOP58,0.0037518546
TOP1,0.005943703
TOP2A,0.02312041
